sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species	original_path	ftp_path
SAMN06817955	Oleiphilus messinensis	1.832	141451	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus	Oleiphilus messinensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_465/SAMN06817955.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_465/SAMN06817955.contigs.fa.gz
SAMN02256516	Pelobacter propionicus	1.904	29543	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter propionicus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02256516.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02256516.contigs.fa.gz
SAMN08776294	Candidatus Paracaedibacter acanthamoebae	1.984	91604	Proteobacteria	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	Candidatus Paracaedibacter acanthamoebae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08776294.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08776294.contigs.fa.gz
SAMN05660276	Desulfococcus oleovorans	2.624	181663	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_413/SAMN05660276.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_413/SAMN05660276.contigs.fa.gz
SAMN09074859	Thiohalobacter thiocyanaticus	2.698	585455	Proteobacteria	Gammaproteobacteria	Chromatiales		Thiohalobacter	Thiohalobacter thiocyanaticus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074859.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074859.contigs.fa.gz
SAMN02199004	Novosphingobium pentaromativorans	2.874	205844	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium pentaromativorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199004.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199004.contigs.fa.gz
SAMN09074758	Sphingomonas sp. JJ-A5	2.942	1921510	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Tardibacter	Tardibacter chloracetimidivorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074758.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074758.contigs.fa.gz
SAMN04580785	Ketobacter alkanivorans	2.986	1917421	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Ketobacter	Ketobacter alkanivorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_376/SAMN04580785.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_376/SAMN04580785.contigs.fa.gz
SAMN02440412	Bacteroidetes bacterium Omega	3.121	1457365	Balneolaeota				Candidatus Cyclonatronum	Candidatus Cyclonatronum proteinivorum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440412.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440412.contigs.fa.gz
SAMN02194535	Cellvibrio sp. PSBB006	3.192	1987723	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio sp. PSBB006	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194535.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194535.contigs.fa.gz
SAMN04488126	Bacillus sp. OxB-1	3.221	98228	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. OxB-1	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_368/SAMN04488126.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_368/SAMN04488126.contigs.fa.gz
SAMN08724137	Verrucomicrobium sp. GAS474	3.221	1882831	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobium sp. GAS474	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_557/SAMN08724137.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_557/SAMN08724137.contigs.fa.gz
SAMN02744077	Synechococcus lividus	3.222	33070	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus lividus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744077.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744077.contigs.fa.gz
SAMN02732492	Chlorobaculum tepidum	3.412	1097	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum tepidum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_292/SAMN02732492.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_292/SAMN02732492.contigs.fa.gz
SAMN02256423	Francisella sp. PA05-1188	3.652	2016517	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella opportunistica	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02256423.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02256423.contigs.fa.gz
SAMD00093498	Clostridium sp. MF28	3.942	1702238	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. MF28	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_004/SAMD00093498.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_004/SAMD00093498.contigs.fa.gz
SAMN02194524	Microbacterium paraoxydans	4.079	199592	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium paraoxydans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194524.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194524.contigs.fa.gz
SAMN02256402	Geobacillus sp. Y4.1MC1	4.105	581103	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus sp. Y4.1MC1	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02256402.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02256402.contigs.fa.gz
SAMN02745206	Syntrophobacter fumaroxidans	4.226	119484	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter fumaroxidans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745206.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745206.contigs.fa.gz
SAMN07621686	Salinibacterium sp. CGMCC 1.16371	4.233	2079791	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Salinibacterium	Salinibacterium sp. CGMCC 1.16371	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621686.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621686.contigs.fa.gz
SAMN02199009	Desulfobulbus sp. ORNL	4.277	1986146	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus oralis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199009.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199009.contigs.fa.gz
SAMEA104102533	Phaeobacter piscinae	4.32	1580596	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter piscinae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_026/SAMEA104102533.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_026/SAMEA104102533.contigs.fa.gz
SAMN06335524	Croceicoccus naphthovorans	4.344	1348774	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Croceicoccus naphthovorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_452/SAMN06335524.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_452/SAMN06335524.contigs.fa.gz
SAMN02194808	Hyphomonas neptunium	4.367	81032	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas neptunium	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194808.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194808.contigs.fa.gz
SAMN02199244	Neomicrococcus aestuarii	4.411	556325	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Neomicrococcus	Neomicrococcus aestuarii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199244.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199244.contigs.fa.gz
SAMN02198999	Bacillus beveridgei	4.422000000000001	632773	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus beveridgei	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02198999.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02198999.contigs.fa.gz
SAMN06320160	Oceanobacillus kimchii	4.435	746691	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus kimchii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_449/SAMN06320160.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_449/SAMN06320160.contigs.fa.gz
SAMN05216227	Octadecabacter antarcticus	4.452	1217908	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Octadecabacter antarcticus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_393/SAMN05216227.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_393/SAMN05216227.contigs.fa.gz
SAMN09762562	Pseudoalteromonas spongiae	4.4670000000000005	298657	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas spongiae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_624/SAMN09762562.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_624/SAMN09762562.contigs.fa.gz
SAMN05421751	Thalassococcus sp. SH-1	4.52	2605946	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		Rhodobacteraceae bacterium SH-1	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_404/SAMN05421751.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_404/SAMN05421751.contigs.fa.gz
SAMN08776720	Corynebacterium halotolerans	4.554	225326	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium halotolerans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08776720.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08776720.contigs.fa.gz
SAMN02744603	Geobacter sp. M18	4.729	443143	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sp. M18	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744603.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744603.contigs.fa.gz
SAMN05920897	Spirochaeta africana	4.743	46355	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta africana	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_422/SAMN05920897.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_422/SAMN05920897.contigs.fa.gz
SAMN07621003	Candidatus Portiera aleyrodidarum	4.787	91844	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Candidatus Portiera aleyrodidarum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621003.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621003.contigs.fa.gz
SAMN06320161	Leuconostoc gelidum	4.923	1244	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc gelidum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_449/SAMN06320161.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_449/SAMN06320161.contigs.fa.gz
SAMN08778805	Formosa agariphila	4.923	320324	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa	Formosa agariphila	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08778805.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08778805.contigs.fa.gz
SAMN09074748	Algibacter alginicilyticus	4.928	1736674	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Algibacter alginicilyticus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074748.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074748.contigs.fa.gz
SAMN06266982	Micropruina glycogenica	5.009	75385	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Micropruina	Micropruina glycogenica	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06266982.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06266982.contigs.fa.gz
SAMN06319274	Actinobacteria bacterium IMCC26256	5.015	1650658	Actinobacteria	Actinobacteria				Actinobacteria bacterium IMCC26256	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_449/SAMN06319274.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_449/SAMN06319274.contigs.fa.gz
SAMN06016259	Candidatus Ruthia magnifica	5.056	386487	Proteobacteria	Gammaproteobacteria			Candidatus Ruthia	Candidatus Ruthia magnifica	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_427/SAMN06016259.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_427/SAMN06016259.contigs.fa.gz
SAMN05661003	Desulfuromonas sp. DDH964	5.114	1823759	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Desulfuromonas sp. DDH964	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_413/SAMN05661003.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_413/SAMN05661003.contigs.fa.gz
SAMN07621367	Buchnera aphidicola	5.153	9	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621367.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621367.contigs.fa.gz
SAMN02194284	Sphingobium herbicidovorans	5.209	76947	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium herbicidovorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194284.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194284.contigs.fa.gz
SAMN02745324	Clostridium novyi	5.241	1542	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium novyi	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745324.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745324.contigs.fa.gz
SAMN05216211	Winogradskyella sp. J14-2	5.292	1936080	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella sp. J14-2	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_393/SAMN05216211.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_393/SAMN05216211.contigs.fa.gz
SAMN02199413	Maribacter sp. HTCC2170	5.305	313603	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter sp. HTCC2170	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02199413.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02199413.contigs.fa.gz
SAMN02745528	Oceanicoccus sagamiensis	5.314	716816	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Oceanicoccus	Oceanicoccus sagamiensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02745528.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02745528.contigs.fa.gz
SAMN06264854	Persicobacter sp. JZB09	5.338	1085624	Bacteroidetes	Cytophagia	Cytophagales	Persicobacteraceae	Persicobacter	Persicobacter sp. JZB09	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06264854.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06264854.contigs.fa.gz
SAMN02744796	Methyloceanibacter sp. wino2	5.432	2170729	Proteobacteria	Alphaproteobacteria	Rhizobiales		Methyloceanibacter	Methyloceanibacter sp. wino2	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744796.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744796.contigs.fa.gz
SAMN02744810	Solibacillus sp. R5-41	5.44	2048654	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus sp. R5-41	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744810.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744810.contigs.fa.gz
SAMN02584972	Halotalea alkalilenta	5.468	376489	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halotalea	Halotalea alkalilenta	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_287/SAMN02584972.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_287/SAMN02584972.contigs.fa.gz
SAMN02440546	Advenella mimigardefordensis	5.519	302406	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	Advenella mimigardefordensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440546.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440546.contigs.fa.gz
SAMEA2361453	Bacillus lentus	5.6000000000000005	1467	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus lentus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_118/SAMEA2361453.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_118/SAMEA2361453.contigs.fa.gz
SAMN00773127	Halothermothrix orenii	5.602	31909	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halothermothrix	Halothermothrix orenii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00773127.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00773127.contigs.fa.gz
SAMN02261249	Oscillatoria acuminata	5.646	118323	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria acuminata	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261249.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261249.contigs.fa.gz
SAMN02745156	Mycoplasma pulmonis	5.649	2107	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma pulmonis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745156.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745156.contigs.fa.gz
SAMN06320167	Pseudothermotoga elfii	5.685	38322	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga elfii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_449/SAMN06320167.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_449/SAMN06320167.contigs.fa.gz
SAMN05720366	Acidovorax sp. T1	5.727	1858609	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. T1	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_414/SAMN05720366.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_414/SAMN05720366.contigs.fa.gz
SAMN05720308	Polaribacter sp. KT25b	5.756	1855336	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp. KT25b	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_414/SAMN05720308.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_414/SAMN05720308.contigs.fa.gz
SAMN08886522	Sphingorhabdus sp. Alg231-15	5.828	1922222	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus sp. Alg231-15	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_569/SAMN08886522.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_569/SAMN08886522.contigs.fa.gz
SAMN09721247	Paracoccus sp. BM15	5.893	1529068	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus sp. BM15	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_620/SAMN09721247.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_620/SAMN09721247.contigs.fa.gz
SAMN05421736	Bacillus cellulosilyticus	5.894	1413	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cellulosilyticus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_404/SAMN05421736.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_404/SAMN05421736.contigs.fa.gz
SAMN08775544	Aminomonas paucivorans	5.902	81412	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminomonas	Aminomonas paucivorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08775544.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08775544.contigs.fa.gz
SAMN02198965	Agarivorans gilvus	6.143	680279	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agarivorans	Agarivorans gilvus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02198965.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02198965.contigs.fa.gz
SAMN04488134	Amphibacillus xylanus	6.22	1449	Firmicutes	Bacilli	Bacillales	Bacillaceae	Amphibacillus	Amphibacillus xylanus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_368/SAMN04488134.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_368/SAMN04488134.contigs.fa.gz
SAMN04452058	Candidatus Phytoplasma mali	6.299	37692	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Candidatus Phytoplasma mali	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_364/SAMN04452058.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_364/SAMN04452058.contigs.fa.gz
SAMN02746095	Acidiphilium multivorum	6.451	62140	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium multivorum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02746095.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02746095.contigs.fa.gz
