sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species	original_path	ftp_path
SAMN00102793	Calditerrivibrio nitroreducens	99.951	477976	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Calditerrivibrio	Calditerrivibrio nitroreducens	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_266/SAMN00102793.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_266/SAMN00102793.contigs.fa.gz
SAMN01797753	Cyanobacterium aponinum	99.952	379064	Cyanobacteria		Chroococcales	Cyanobacteriaceae	Cyanobacterium	Cyanobacterium aponinum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_271/SAMN01797753.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_271/SAMN01797753.contigs.fa.gz
SAMN08172666	Campylobacter fetus	99.955	196	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_532/SAMN08172666.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_532/SAMN08172666.contigs.fa.gz
SAMEA2015597	Helicobacter felis	99.955	214	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter felis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_085/SAMEA2015597.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_085/SAMEA2015597.contigs.fa.gz
SAMEA4392574	Aeromonas salmonicida	99.955	645	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_225/SAMEA4392574.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_225/SAMEA4392574.contigs.fa.gz
SAMN07709945	Mesoplasma lactucae	99.955	138853	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	Mesoplasma lactucae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_509/SAMN07709945.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_509/SAMN07709945.contigs.fa.gz
SAMN00713608	Sphaerochaeta coccoides	99.955	273376	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	Sphaerochaeta coccoides	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713608.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713608.contigs.fa.gz
SAMN02261410	Opitutaceae bacterium TAV5	99.955	794903	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae		Opitutaceae bacterium TAV5	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261410.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261410.contigs.fa.gz
SAMN00713599	Fluviicola taffensis	99.956	191579	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola taffensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713599.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713599.contigs.fa.gz
SAMN02232065	Turneriella parva	99.957	29510	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Turneriella	Turneriella parva	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02232065.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02232065.contigs.fa.gz
SAMN02232052	Solitalea canadensis	99.958	995	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	Solitalea canadensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02232052.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02232052.contigs.fa.gz
SAMN07428568	Gemmata obscuriglobus	99.96	114	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmata	Gemmata obscuriglobus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_488/SAMN07428568.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_488/SAMN07428568.contigs.fa.gz
SAMN02261337	Synechococcus sp. PCC 6312	99.96	195253	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6312	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261337.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261337.contigs.fa.gz
SAMN02261250	Leptolyngbya boryana	99.961	1184	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya boryana	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261250.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261250.contigs.fa.gz
SAMN06473757	Akkermansia muciniphila	99.961	239935	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_456/SAMN06473757.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_456/SAMN06473757.contigs.fa.gz
SAMN06295964	Aeromicrobium choanae	99.962	1736691	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium choanae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_448/SAMN06295964.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_448/SAMN06295964.contigs.fa.gz
SAMN08776252	Bacteriovorax stolpii	99.963	960	Proteobacteria	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	Bacteriovorax stolpii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08776252.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08776252.contigs.fa.gz
SAMN00001504	Lactobacillus reuteri	99.963	1598	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_266/SAMN00001504.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_266/SAMN00001504.contigs.fa.gz
SAMN07602175	Mycoplasma gallisepticum	99.963	2096	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma gallisepticum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_498/SAMN07602175.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_498/SAMN07602175.contigs.fa.gz
SAMN00149467	Variovorax paradoxus	99.963	34073	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_267/SAMN00149467.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_267/SAMN00149467.contigs.fa.gz
SAMN00114987	Singulisphaera acidiphila	99.963	466153	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera	Singulisphaera acidiphila	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_267/SAMN00114987.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_267/SAMN00114987.contigs.fa.gz
SAMN02261411	Terriglobus roseus	99.964	392734	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus roseus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261411.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261411.contigs.fa.gz
SAMN07786804	Phaeobacter inhibens	99.965	221822	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_516/SAMN07786804.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_516/SAMN07786804.contigs.fa.gz
SAMN05444421	Celeribacter marinus	99.965	1397108	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	Celeribacter marinus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_406/SAMN05444421.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_406/SAMN05444421.contigs.fa.gz
SAMEA2063530	Mycoplasma bovis	99.97	28903	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma bovis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_090/SAMEA2063530.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_090/SAMEA2063530.contigs.fa.gz
SAMD00025579	Geminocystis sp. NIES-3708	99.97	1615909	Cyanobacteria		Chroococcales	Chroococcaceae	Geminocystis	Geminocystis sp. NIES-3708	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_001/SAMD00025579.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_001/SAMD00025579.contigs.fa.gz
SAMN07431564	Rhodobacter sphaeroides	99.971	1063	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_489/SAMN07431564.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_489/SAMN07431564.contigs.fa.gz
SAMN02769647	Thermocrinis ruber	99.971	75906	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis ruber	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02769647.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02769647.contigs.fa.gz
