sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species	original_path	ftp_path
SAMN05006657	Agrobacterium rhizogenes	98.748	359	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium rhizogenes	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_388/SAMN05006657.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_388/SAMN05006657.contigs.fa.gz
SAMN06173357	Parabacteroides distasonis	98.762	823	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_438/SAMN06173357.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_438/SAMN06173357.contigs.fa.gz
SAMN02199108	Actinoalloteichus sp. AHMU CJ021	98.764	2072503	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinoalloteichus	Actinoalloteichus sp. AHMU CJ021	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199108.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199108.contigs.fa.gz
SAMN00771507	Thioflavicoccus mobilis	98.789	80679	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00771507.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00771507.contigs.fa.gz
SAMN00713634	Isoptericola variabilis	98.791	139208	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola	Isoptericola variabilis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713634.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713634.contigs.fa.gz
SAMN10228558	Pseudopropionibacterium propionicum	98.792	1750	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Pseudopropionibacterium	Pseudopropionibacterium propionicum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_651/SAMN10228558.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_651/SAMN10228558.contigs.fa.gz
SAMN03262798	Ruminiclostridium cellulolyticum	98.794	1521	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Ruminiclostridium	Ruminiclostridium cellulolyticum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_312/SAMN03262798.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_312/SAMN03262798.contigs.fa.gz
SAMD00042785	Fischerella sp. NIES-3754	98.818	1752063	Cyanobacteria		Nostocales	Hapalosiphonaceae	Fischerella	Fischerella sp. NIES-3754	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_002/SAMD00042785.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_002/SAMD00042785.contigs.fa.gz
SAMN02440594	Carboxydothermus hydrogenoformans	98.837	129958	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440594.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440594.contigs.fa.gz
SAMN02584910	Thermacetogenium phaeum	98.851	85874	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermacetogenium	Thermacetogenium phaeum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_287/SAMN02584910.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_287/SAMN02584910.contigs.fa.gz
SAMN00008797	Blautia hansenii	98.865	1322	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hansenii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_266/SAMN00008797.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_266/SAMN00008797.contigs.fa.gz
SAMN02744133	Thalassospira xiamenensis	98.871	220697	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira	Thalassospira xiamenensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744133.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744133.contigs.fa.gz
SAMN10107884	Kurthia sp. 11kri321	98.877	1750719	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia	Kurthia sp. 11kri321	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_645/SAMN10107884.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_645/SAMN10107884.contigs.fa.gz
SAMN02169294	[Eubacterium] eligens	98.9	39485	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira eligens	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_273/SAMN02169294.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_273/SAMN02169294.contigs.fa.gz
SAMN03996303	Hafnia alvei	98.902	569	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_345/SAMN03996303.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_345/SAMN03996303.contigs.fa.gz
