sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species
SAMN02256535	Mucilaginibacter paludis	99.933	423351	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter paludis
SAMN02261366	Ornithobacterium rhinotracheale	99.935	28251	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ornithobacterium	Ornithobacterium rhinotracheale
SAMN08125748	Olleya sp. Bg11-27	99.938	2058135	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Olleya	Olleya sp. Bg11-27
SAMN02261381	Desulfobacter postgatei	99.939	2293	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	Desulfobacter postgatei
SAMN02261327	Calothrix parietina	99.939	32054	Cyanobacteria		Nostocales	Calotrichaceae	Calothrix	Calothrix parietina
SAMEA2747190	Bifidobacterium longum	99.939	216816	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
SAMN08769570	Gilliamella apicola	99.94	1196095	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	Gilliamella apicola
SAMD00022941	Bradyrhizobium diazoefficiens	99.942	1355477	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium diazoefficiens
SAMN08895444	Aerococcus urinae	99.944	1376	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus urinae
SAMN09809089	[Haemophilus] ducreyi	99.946	730	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus] ducreyi
SAMN00013395	Granulicella tundricola	99.946	940615	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
SAMN03372475	Spongiibacter sp. IMCC21906	99.946	1620392	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter	Spongiibacter sp. IMCC21906
